id,grid_solution,steps
test-3x3-011,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""blue"", ""cat""], [""2"", """", ""red"", ""fish""], [""3"", ""Niaj"", ""purple"", ""turtle""]]}",8
test-3x3-012,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""blue"", ""dog""], [""2"", """", ""orange"", ""bird""], [""3"", ""Niaj"", ""yellow"", ""turtle""]]}",7
test-3x3-013,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""orange"", ""bird""], [""2"", ""Grace"", ""blue"", ""dog""], [""3"", ""Bob"", ""purple"", ""rabbit""]]}",8
test-3x3-014,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""blue"", ""rabbit""], [""2"", """", ""red"", ""fish""], [""3"", """", ""orange"", ""turtle""]]}",6
test-3x3-015,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""purple"", ""bird""], [""2"", ""Niaj"", ""white"", ""fish""], [""3"", """", ""orange"", ""hamster""]]}",6
test-3x3-016,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""hamster""], [""2"", ""Mallory"", ""blue"", ""dog""], [""3"", ""Grace"", ""yellow"", ""cat""]]}",6
test-3x3-017,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""white"", ""rabbit""], [""2"", ""Grace"", ""red"", ""cat""], [""3"", """", ""orange"", ""hamster""]]}",6
test-3x3-018,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""yellow"", ""bird""], [""2"", """", ""green"", ""rabbit""], [""3"", ""Carol"", ""purple"", ""turtle""]]}",8
test-3x3-019,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""orange"", ""hamster""], [""2"", """", ""yellow"", ""fish""], [""3"", """", ""green"", ""cat""]]}",7
test-3x3-020,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""green"", ""hamster""], [""2"", ""Bob"", ""purple"", ""turtle""], [""3"", """", ""yellow"", ""rabbit""]]}",8
test-3x3-021,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Judy"", ""red"", ""cat""], [""2"", """", ""blue"", ""bird""], [""3"", ""Eve"", ""purple"", ""turtle""]]}",10
test-3x3-022,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""bird""], [""2"", ""Judy"", ""green"", ""dog""], [""3"", """", ""white"", ""cat""]]}",6
test-3x3-023,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""blue"", ""rabbit""], [""2"", ""Eve"", ""white"", ""dog""], [""3"", ""David"", ""orange"", ""hamster""]]}",6
test-3x3-024,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""blue"", ""rabbit""], [""2"", """", ""red"", ""fish""], [""3"", ""Judy"", ""orange"", ""cat""]]}",6
test-3x3-025,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""red"", ""bird""], [""2"", ""Ivan"", ""blue"", ""dog""], [""3"", ""Heidi"", ""orange"", ""hamster""]]}",8
test-3x3-026,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""green"", ""dog""], [""2"", ""Bob"", ""red"", ""cat""], [""3"", """", ""yellow"", ""rabbit""]]}",6
test-3x3-027,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""white"", ""hamster""], [""2"", ""Ivan"", ""purple"", ""bird""], [""3"", ""Niaj"", ""yellow"", ""cat""]]}",9
test-3x3-028,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""purple"", ""rabbit""], [""2"", ""Heidi"", ""orange"", ""dog""], [""3"", ""Frank"", ""yellow"", ""bird""]]}",6
test-3x3-029,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""purple"", ""cat""], [""2"", ""Ivan"", ""orange"", ""dog""], [""3"", """", ""green"", ""turtle""]]}",6
test-3x3-030,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""purple"", ""turtle""], [""2"", """", ""yellow"", ""bird""], [""3"", """", ""green"", ""fish""]]}",6
test-3x3-031,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""purple"", ""bird""], [""2"", ""Grace"", ""white"", ""fish""], [""3"", ""Carol"", ""green"", ""rabbit""]]}",6
test-3x3-032,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""green"", ""dog""], [""2"", ""Mallory"", ""orange"", ""fish""], [""3"", """", ""yellow"", ""rabbit""]]}",6
test-3x3-033,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""red"", ""fish""], [""2"", ""Heidi"", ""blue"", ""rabbit""], [""3"", """", ""green"", ""bird""]]}",9
test-3x3-034,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""blue"", ""turtle""], [""2"", ""Carol"", ""red"", ""fish""], [""3"", ""Bob"", ""green"", ""cat""]]}",6
test-3x3-035,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""purple"", ""turtle""], [""2"", ""Heidi"", ""blue"", ""dog""], [""3"", ""Niaj"", ""red"", ""cat""]]}",6
test-3x3-036,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""purple"", ""bird""], [""2"", """", ""white"", ""rabbit""], [""3"", ""Ivan"", ""orange"", ""dog""]]}",6
test-3x3-037,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""purple"", ""dog""], [""2"", """", ""yellow"", ""turtle""], [""3"", ""Alice"", ""orange"", ""cat""]]}",6
test-3x3-038,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""purple"", ""fish""], [""2"", """", ""blue"", ""bird""], [""3"", ""Frank"", ""orange"", ""hamster""]]}",6
test-3x3-039,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""white"", ""bird""], [""2"", ""Grace"", ""orange"", ""dog""], [""3"", ""Judy"", ""yellow"", ""hamster""]]}",6
test-3x3-040,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""white"", ""rabbit""], [""2"", ""Carol"", ""orange"", ""fish""], [""3"", ""Bob"", ""yellow"", ""hamster""]]}",6
test-3x3-041,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""yellow"", ""fish""], [""2"", """", ""blue"", ""dog""], [""3"", ""Judy"", ""purple"", ""cat""]]}",8
test-3x3-042,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""purple"", ""bird""], [""2"", ""Grace"", ""green"", ""fish""], [""3"", ""Grace"", ""red"", ""hamster""]]}",6
test-3x3-043,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""orange"", ""bird""], [""2"", ""Carol"", ""yellow"", ""hamster""], [""3"", """", ""red"", ""cat""]]}",6
test-3x3-044,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""dog""], [""2"", ""Carol"", ""green"", ""turtle""], [""3"", ""Eve"", ""yellow"", ""hamster""]]}",6
test-3x3-045,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""fish""], [""2"", ""Eve"", ""white"", ""turtle""], [""3"", ""Alice"", ""green"", ""rabbit""]]}",6
test-3x3-046,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""rabbit""], [""2"", ""Frank"", ""purple"", ""fish""], [""3"", """", ""white"", ""turtle""]]}",8
test-3x3-047,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""blue"", ""dog""], [""2"", """", ""green"", ""cat""], [""3"", ""Bob"", ""red"", ""turtle""]]}",6
test-3x3-048,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Judy"", ""white"", ""bird""], [""2"", ""Grace"", ""purple"", ""dog""], [""3"", ""Bob"", ""green"", ""turtle""]]}",7
test-3x3-049,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""green"", ""bird""], [""2"", ""Bob"", ""orange"", ""fish""], [""3"", ""Alice"", ""blue"", ""hamster""]]}",7
test-3x3-050,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""blue"", ""rabbit""], [""2"", ""Carol"", ""red"", ""dog""], [""3"", ""Niaj"", ""orange"", ""bird""]]}",6
test-3x3-051,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""purple"", ""bird""], [""2"", ""Carol"", ""white"", ""fish""], [""3"", ""Bob"", ""yellow"", ""cat""]]}",6
test-3x3-052,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""orange"", ""bird""], [""2"", ""Judy"", ""purple"", ""rabbit""], [""3"", ""Carol"", ""green"", ""fish""]]}",10
test-3x3-053,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""white"", ""rabbit""], [""2"", ""Judy"", ""blue"", ""bird""], [""3"", ""Judy"", ""orange"", ""hamster""]]}",6
test-3x3-054,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""white"", ""fish""], [""2"", """", ""purple"", ""cat""], [""3"", ""Alice"", ""yellow"", ""turtle""]]}",7
test-3x3-055,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""white"", ""bird""], [""2"", ""Bob"", ""purple"", ""rabbit""], [""3"", ""Grace"", ""blue"", ""cat""]]}",8
test-3x3-056,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""orange"", ""fish""], [""2"", """", ""white"", ""hamster""], [""3"", """", ""red"", ""bird""]]}",8
test-3x3-057,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""purple"", ""hamster""], [""2"", ""Frank"", ""blue"", ""fish""], [""3"", ""Heidi"", ""yellow"", ""cat""]]}",6
test-3x3-058,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""rabbit""], [""2"", ""Frank"", ""yellow"", ""hamster""], [""3"", ""Eve"", ""blue"", ""cat""]]}",7
test-3x3-059,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""blue"", ""dog""], [""2"", ""David"", ""red"", ""fish""], [""3"", ""Eve"", ""white"", ""turtle""]]}",7
test-3x3-060,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""red"", ""rabbit""], [""2"", ""Niaj"", ""green"", ""turtle""], [""3"", """", ""orange"", ""bird""]]}",8
test-3x3-061,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""blue"", ""turtle""], [""2"", ""Grace"", ""red"", ""rabbit""], [""3"", ""Ivan"", ""orange"", ""bird""]]}",6
test-3x3-062,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""purple"", ""hamster""], [""2"", """", ""green"", ""dog""], [""3"", ""Heidi"", ""orange"", ""fish""]]}",6
test-3x3-063,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""blue"", ""hamster""], [""2"", ""Mallory"", ""orange"", ""turtle""], [""3"", ""Grace"", ""yellow"", ""rabbit""]]}",6
test-3x3-064,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""red"", ""fish""], [""2"", """", ""orange"", ""hamster""], [""3"", ""David"", ""green"", ""dog""]]}",8
test-3x3-065,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""purple"", ""rabbit""], [""2"", ""Niaj"", ""yellow"", ""bird""], [""3"", """", ""red"", ""hamster""]]}",7
test-3x3-066,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""orange"", ""bird""], [""2"", """", ""green"", ""dog""], [""3"", ""Bob"", ""purple"", ""hamster""]]}",9
test-3x3-067,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""orange"", ""hamster""], [""2"", ""Bob"", ""blue"", ""fish""], [""3"", ""Frank"", ""green"", ""dog""]]}",10
test-3x3-068,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""orange"", ""dog""], [""2"", ""Bob"", ""red"", ""hamster""], [""3"", ""Ivan"", ""white"", ""turtle""]]}",7
test-3x3-069,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""blue"", ""fish""], [""2"", ""Frank"", ""red"", ""hamster""], [""3"", ""Eve"", ""yellow"", ""cat""]]}",6
test-3x3-070,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""purple"", ""bird""], [""2"", ""Eve"", ""white"", ""dog""], [""3"", """", ""red"", ""cat""]]}",6
test-3x3-071,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""orange"", ""turtle""], [""2"", ""Judy"", ""red"", ""bird""], [""3"", ""Judy"", ""yellow"", ""fish""]]}",6
test-3x3-072,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""red"", ""rabbit""], [""2"", ""Alice"", ""yellow"", ""fish""], [""3"", """", ""white"", ""cat""]]}",7
test-3x3-073,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Grace"", ""green"", ""rabbit""], [""2"", ""Judy"", ""blue"", ""cat""], [""3"", """", ""orange"", ""fish""]]}",8
test-3x3-074,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""blue"", ""bird""], [""2"", ""Mallory"", ""green"", ""rabbit""], [""3"", """", ""orange"", ""cat""]]}",6
test-3x3-075,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""white"", ""rabbit""], [""2"", ""Frank"", ""blue"", ""cat""], [""3"", ""Bob"", ""red"", ""fish""]]}",6
test-3x3-076,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""bird""], [""2"", ""Frank"", ""red"", ""dog""], [""3"", ""Eve"", ""white"", ""turtle""]]}",7
test-3x3-077,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""bird""], [""2"", ""Eve"", ""green"", ""turtle""], [""3"", ""Bob"", ""red"", ""cat""]]}",6
test-3x3-078,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""green"", ""hamster""], [""2"", ""Carol"", ""white"", ""fish""], [""3"", ""Heidi"", ""orange"", ""cat""]]}",9
test-3x3-079,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Judy"", ""orange"", ""dog""], [""2"", """", ""yellow"", ""fish""], [""3"", """", ""purple"", ""turtle""]]}",7
test-3x3-080,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""white"", ""fish""], [""2"", ""Judy"", ""orange"", ""dog""], [""3"", """", ""green"", ""turtle""]]}",6
test-3x3-081,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""orange"", ""bird""], [""2"", ""Niaj"", ""red"", ""fish""], [""3"", ""Grace"", ""yellow"", ""hamster""]]}",6
test-3x3-082,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""blue"", ""turtle""], [""2"", """", ""green"", ""bird""], [""3"", ""David"", ""red"", ""rabbit""]]}",6
test-3x3-083,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""yellow"", ""rabbit""], [""2"", """", ""orange"", ""fish""], [""3"", ""Frank"", ""green"", ""dog""]]}",8
test-3x3-084,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""orange"", ""rabbit""], [""2"", """", ""white"", ""cat""], [""3"", ""David"", ""purple"", ""hamster""]]}",8
test-3x3-085,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""bird""], [""2"", """", ""white"", ""cat""], [""3"", """", ""orange"", ""fish""]]}",6
test-3x3-086,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""orange"", ""bird""], [""2"", ""Frank"", ""purple"", ""turtle""], [""3"", ""Ivan"", ""blue"", ""cat""]]}",10
test-3x3-087,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""blue"", ""rabbit""], [""2"", """", ""yellow"", ""hamster""], [""3"", ""Alice"", ""red"", ""cat""]]}",6
test-3x3-088,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""purple"", ""bird""], [""2"", """", ""orange"", ""fish""], [""3"", ""Judy"", ""green"", ""hamster""]]}",6
test-3x3-089,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""green"", ""fish""], [""2"", ""Bob"", ""orange"", ""rabbit""], [""3"", """", ""yellow"", ""dog""]]}",6
test-3x3-090,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""white"", ""dog""], [""2"", ""Bob"", ""purple"", ""cat""], [""3"", ""Eve"", ""orange"", ""bird""]]}",7
test-3x3-091,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""white"", ""hamster""], [""2"", """", ""red"", ""cat""], [""3"", ""Eve"", ""orange"", ""dog""]]}",7
test-3x3-092,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""yellow"", ""rabbit""], [""2"", ""Eve"", ""white"", ""fish""], [""3"", ""Alice"", ""green"", ""cat""]]}",8
test-3x3-093,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""purple"", ""turtle""], [""2"", ""Eve"", ""white"", ""bird""], [""3"", ""Alice"", ""green"", ""hamster""]]}",6
test-3x3-094,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Niaj"", ""green"", ""rabbit""], [""2"", ""Carol"", ""white"", ""fish""], [""3"", ""Frank"", ""red"", ""cat""]]}",7
test-3x3-095,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Judy"", ""purple"", ""bird""], [""2"", ""Niaj"", ""white"", ""cat""], [""3"", ""Grace"", ""red"", ""fish""]]}",6
test-3x3-096,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""yellow"", ""dog""], [""2"", ""Grace"", ""purple"", ""fish""], [""3"", ""Niaj"", ""blue"", ""hamster""]]}",8
test-3x3-097,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""purple"", ""turtle""], [""2"", ""David"", ""green"", ""fish""], [""3"", """", ""yellow"", ""rabbit""]]}",8
test-3x3-098,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""purple"", ""bird""], [""2"", ""Niaj"", ""orange"", ""hamster""], [""3"", ""Niaj"", ""red"", ""cat""]]}",6
test-3x3-099,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""blue"", ""rabbit""], [""2"", ""Judy"", ""red"", ""dog""], [""3"", ""David"", ""yellow"", ""turtle""]]}",6
test-3x3-100,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""purple"", ""fish""], [""2"", ""Bob"", ""orange"", ""rabbit""], [""3"", ""Grace"", ""green"", ""dog""]]}",7
